city_file_number,permit_type,permit_class,status,description_of_development,address,legal_description,neighbourhood_id,neighbourhood,ward,bia,land_parcel_count,latitude,longitude,location,geometry_point,neighbourhood_classification,zoning,permit_date
449137282-002,Sign Permit,Not Available,Other,To install (3) Fascia On-Premises Sign (DOWNTOWN PRO CARE PHARMACY AND CLINIC LTD),10667 - 113 STREET NW,Plan B4 Blk 12 Lots 191-192,1180,QUEEN MARY PARK,O-day'min Ward,North Edge,3,53.5511635169634,-113.5152619517601,,"{'type': 'Point', 'coordinates': [-113.5152619517601, 53.5511635169634]}",,,
263120189-007,Major Development Permit,No Development Permit Required,Other,To construct exterior alterations to an existing Extended Medical Treatment Services (constructing an accessibility ramp for west entrance) (George Spady Detoxification Centre).,10015 - 105A AVENUE NW,Plan 8322708 Lot 135A,1140,MCCAULEY,O-day'min Ward,Chinatown and Area,3,53.548435715154696,-113.49257669116477,,"{'type': 'Point', 'coordinates': [-113.49257669116477, 53.548435715154696]}",Redeveloping,UF,
172786609-001,Major Development Permit,Not Available,Other,To construct an addition and exterior alterations to an existing Veterinary Services Use building (Addition on the north east portion of the building: 10.36m X 1.82m),12831 - 97 STREET NW,Plan 1821951 Blk 35 Lot 31,2420,KILLARNEY,Ward 7,,3,53.586756980777494,-113.49146270731181,,"{'type': 'Point', 'coordinates': [-113.49146270731181, 53.586756980777494]}",Redeveloping,CSC,
464316581-002,Major Development Permit,Not Available,Other,To continue to operate a Health Service and General Retail Store (optometrist office with eyewear retail) and to construct interior alterations,4371 - 167 AVENUE NW,"Condo Common Area (Plan 1823461,1823198,1823199,2321186)",2110,BRINTNELL,Dene Ward,,6,53.62793265847463,-113.40720065649303,,"{'type': 'Point', 'coordinates': [-113.40720065649303, 53.62793265847463]}",Developing,"CG,CB2",
414138635-002,Major Development Permit,Not Available,Other,To continue to operate a Health Service and to construct interior alterations (physiotherapy clinic with indoor pool),2531 - 103A STREET SW,Plan 2021467 Blk 1 Lot 1,5466,CASHMAN,Ipiihkoohkanipiaohtsi Ward,,3,53.413322088776056,-113.50012962163123,,"{'type': 'Point', 'coordinates': [-113.50012962163123, 53.413322088776056]}",Developing,BE,
452814226-002,Major Development Permit,Not Available,Other,To Change the Use from a General Retail Store to a Health Service (Hearing Clinic),12846 - 97 STREET NW,Condo Common Area (Plan 2221739),3260,LAUDERDALE,Anirniq Ward,,3,53.58720784426612,-113.49260827305545,,"{'type': 'Point', 'coordinates': [-113.49260827305545, 53.58720784426612]}",Redeveloping,CSC,
453436618-001,Major Development Permit,Not Available,In Progress,To continue to operate a Health Service (Central Dental Family Dentistry),10705 - 107 STREET NW,Plan B4 Blk 6 Lot 219,1030,CENTRAL MCDOUGALL,O-day'min Ward,North Edge,3,53.551587069262794,-113.50422659579633,,"{'type': 'Point', 'coordinates': [-113.50422659579633, 53.551587069262794]}",Redeveloping,MU,
414456173-002,Major Development Permit,Not Available,Other,To change the use from General Retail Store to Health Service and to construct interior alterations (physiotherapy and massage therapy clinic),1468 - MCCONACHIE BOULEVARD NW,Plan 1821486 Blk 24 Lot 118,2522,MCCONACHIE,Dene Ward,,3,53.639692080146645,-113.441561945808,,"{'type': 'Point', 'coordinates': [-113.441561945808, 53.639692080146645]}",Developing,CN,
663448669-002,Sign Permit,Not Available,In Progress,To install (1) Projecting Sign not in the form of a Roof Sign limited to On-premises Advertising (BEAUTIOQUE MEDICAL ASTHETICS),779 - 75 STREET SW,Plan 9321197 Blk 1 Lot 2,6211,ELLERSLIE,Karhiio Ward,,3,53.42596617329275,-113.44983078710192,,"{'type': 'Point', 'coordinates': [-113.44983078710192, 53.42596617329275]}",,,
420202696-002,Major Development Permit,Not Available,Other,To operate a Health Service and to construct interior alterations (aesthetics injectionist clinic),"104, 10111 - 104 AVENUE NW",Plan 8021480 Blk 1 Lot A,1090,DOWNTOWN,O-day'min Ward,Downtown,3,53.54570554720887,-113.4946367339841,,"{'type': 'Point', 'coordinates': [-113.4946367339841, 53.54570554720887]}",Redeveloping,CCA,
516489514-002,Major Development Permit,Not Available,Other,To Continue to Operate a Health Service (Medical Clinic) (NDPR),120 - WATT COMMON SW,Plan 1422177 Blk 30 Lot 5,6662,WALKER,Karhiio Ward,,3,53.42254530644787,-113.42375467216169,,"{'type': 'Point', 'coordinates': [-113.42375467216169, 53.42254530644787]}",Developing,DC1,
463397156-002,Major Development Permit,Not Available,Other,"To change the use from Professional, Financial, Office Support Service to Health Service (physiotherapy clinic) and to construct interior alterations","201, 10950 - 23 AVENUE NW",Plan 0323339 Blk 32 Lot 11,5180,ERMINESKIN,Ipiihkoohkanipiaohtsi Ward,,3,53.454941136863944,-113.5123042806553,,"{'type': 'Point', 'coordinates': [-113.5123042806553, 53.454941136863944]}",Redeveloping,CG,
464007187-002,Sign Permit,Not Available,Other,To install a Fascia On-Premises Sign (MYO HEALING CLINIC LTD.).,10836 - 61 AVENUE NW,Plan 2958HW Blk 27 Lot 9,5010,ALLENDALE,papastew Ward,,3,53.49856307278418,-113.51131443126539,,"{'type': 'Point', 'coordinates': [-113.51131443126539, 53.49856307278418]}",,,
524973112-002,Major Development Permit,Not Available,Other,To change the use from General Retail Store to a Health Service and Indoor Sales and Service (medical clinic with pharmacy) and to construct interior alterations,787 - 75 STREET SW,Plan 9321197 Blk 1 Lot 2,6211,ELLERSLIE,Karhiio Ward,,3,53.42596617329275,-113.44983078710192,,"{'type': 'Point', 'coordinates': [-113.44983078710192, 53.42596617329275]}",Developing,CN,
410521729-002,Major Development Permit,Not Available,Other,To construct interior alterations to a General Retail Store (pharmacy).,723 - DANIELS WAY SW,Plan 2121567 Blk 18 Lot 4,5463,DESROCHERS AREA,Ipiihkoohkanipiaohtsi Ward,,3,53.40074388738519,-113.54231887415861,,"{'type': 'Point', 'coordinates': [-113.54231887415861, 53.40074388738519]}",Developing,MU,
661100856-002,Major Development Permit,Not Available,Other,"To change the use from Indoor Sales and Service to Health Service and to construct interior alterations (medical clinic attached to existing pharmacy, total floor area is 308 m2)",2627 - 151 AVENUE NW,Plan 0823678 Unit 3,2280,FRASER,Dene Ward,,3,53.61258047858996,-113.37916426611997,,"{'type': 'Point', 'coordinates': [-113.37916426611997, 53.61258047858996]}",Developing,CN,
177237467-052,Major Development Permit,Not Available,In Progress,To change the Use from a Restaurant to a Health Service and construct interior alterations (Dental clinic).,"105, 9934 - 137 AVENUE NW",Plan 1523747 Blk 27 Lot 5,3111,GRIESBACH,Ward 2,,3,53.6008416936922,-113.49506314066738,,"{'type': 'Point', 'coordinates': [-113.49506314066738, 53.6008416936922]}",Redeveloping,"GVC,RA8g",
384126954-004,Sign Permit,Not Available,Other,To install (6) Fascia On-premises Signs (Window Signs) ( MEDICINE PLACE | PHARMACY | OPTOMETRY | MEDICAL CLINIC | IV CLINIC | MEDISPA).,9943 - 109 STREET NW,Condo Common Area (Plan 0628335),1090,DOWNTOWN,O-day'min Ward,Downtown,3,53.53839336771695,-113.50788093755689,,"{'type': 'Point', 'coordinates': [-113.50788093755689, 53.53839336771695]}",,,
374592044-001,Sign Permit,Not Available,Other,To install (5) Fascia On-premises Signs (HOME OF SMILES DENTAL CLINIC),2408 - RABBIT HILL ROAD NW,Plan 9823652 Blk 154 Lot 3,5630,LEGER,pihêsiwin Ward,,3,53.45566639257608,-113.56682048405372,,"{'type': 'Point', 'coordinates': [-113.56682048405372, 53.45566639257608]}",,,
514820771-002,Major Development Permit,Not Available,Other,To continue to operate a Health Service (dental clinic) and to construct interior alterations,"203, 5364 - ADMIRAL GIROUARD STREET NW",Condo Common Area (Plan 2321252),3111,GRIESBACH,Anirniq Ward,,4,53.60030303,-113.513461578,,"{'type': 'Point', 'coordinates': [-113.513461578, 53.60030303]}",Redeveloping,CG,
520999067-002,Major Development Permit,Not Available,Other,To continue to operate a Health Service (dental office) and to construct interior alterations,2923 - 119A STREET SW,Plan 2020566 Blk 3 Lot 3,5472,HERITAGE VALLEY TOWN CENTRE,Ipiihkoohkanipiaohtsi Ward,,3,53.4064442389607,-113.53811860824868,,"{'type': 'Point', 'coordinates': [-113.53811860824868, 53.4064442389607]}",Developing,TC-C,
439801946-002,Major Development Permit,Not Available,Other,To construct interior alterations to an Extended Medical Treatment Service building (Fire Alarm Panel Replacement),"103, 16815 - 88 AVENUE NW",Plan 0726880 Blk 3 Lot 5,4590,WEST MEADOWLARK PARK,sipiwiyiniwak Ward,,3,53.52173895987102,-113.61182476886974,,"{'type': 'Point', 'coordinates': [-113.61182476886974, 53.52173895987102]}",Redeveloping,US,
656195192-002,Major Development Permit,Not Available,Other,To change the use from Food and Drink Service to a 126 m2 Health Service (medical and aesthetic clinic),2051 - 163 STREET SW,Condo Common Area (Plan 2120918),5578,GLENRIDDING HEIGHTS,pihêsiwin Ward,,3,53.41561047505044,-113.60131796078458,,"{'type': 'Point', 'coordinates': [-113.60131796078458, 53.41561047505044]}",Developing,CN,
639226424-002,Major Development Permit,Not Available,Other,To Change the Use of a Building from Indoor Sales and Service and Office to a Health Service (Medical Office Building) (No Development Permit Required),"BSMT, 11303 - 95 STREET NW",Plan RN43 Blk 29 Lot 1,1010,ALBERTA AVENUE,Métis Ward,Alberta Avenue,3,53.56286156191477,-113.4867179855408,,"{'type': 'Point', 'coordinates': [-113.4867179855408, 53.56286156191477]}",Redeveloping,CN,
645069850-002,Major Development Permit,Not Available,Other,To continue to operate a Health Service (medical clinic) and to construct interior alterations,5356 - ADMIRAL GIROUARD STREET NW,Condo Common Area (Plan 2321252),3111,GRIESBACH,Anirniq Ward,,4,53.60030303,-113.513461578,,"{'type': 'Point', 'coordinates': [-113.513461578, 53.60030303]}",Redeveloping,CG,
647893376-002,Major Development Permit,No Development Permit Required,Other,To change the Use from Veterinary Services to Restaurant and to construct interior alterations to the building.,6941 - ELLERSLIE ROAD SW,Plan 1321104 Blk 4 Lot 1A,6213,SUMMERSIDE,Karhiio Ward,,3,53.424248285188725,-113.44475757539979,,"{'type': 'Point', 'coordinates': [-113.44475757539979, 53.424248285188725]}",Developing,DC2,
289653809-001,Major Development Permit,Not Available,Other,To change the use from a Veterinary Service to a Restaurant (53 sq.m. public space),8232 - 175 STREET NW,Plan 7620073 Blk 12 Lot 1B,4560,THORNCLIFF,sipiwiyiniwak Ward,,3,53.515600938441665,-113.62444688424964,,"{'type': 'Point', 'coordinates': [-113.62444688424964, 53.515600938441665]}",Redeveloping,MU,
542379376-002,Major Development Permit,Not Available,Other,To change the use from Veterinary Service to Health Service (chiropractic clinic) and to construct interior alterations,12764 - 167 AVENUE NW,Plan 1620811 Blk 1 Lot 13,3460,ALBANY,Anirniq Ward,,3,53.629638290948364,-113.54463693942125,,"{'type': 'Point', 'coordinates': [-113.54463693942125, 53.629638290948364]}",Developing,CG,
397143729-002,Major Development Permit,Not Available,Other,To change the use from Personal Service Shop to a Convenience Retail Store (pharmacy) and to construct interior alterations [signage requires separate Sign Permit],16534 - 59A STREET NW,Plan 1520615 Blk 17 Lot 130A,2500,MATT BERRY,Dene Ward,,3,53.62769351692489,-113.43148918227176,,"{'type': 'Point', 'coordinates': [-113.43148918227176, 53.62769351692489]}",Developing,CN,
384792085-002,Sign Permit,Not Available,Other,To install (1) Fascia On-Premises Sign(s) To install (1) Freestanding On-Premises Sign(s)  (THE MEDICINE SHOPPE PHARMACY 377),6610 - 132 AVENUE NW,Plan 5587MC Blk 3 Lot 25,2230,DELWOOD,tastawiyiniwak Ward,,3,53.592517320978004,-113.44346705266159,,"{'type': 'Point', 'coordinates': [-113.44346705266159, 53.592517320978004]}",,,
262665378-001,Sign Permit,Not Available,Other,To install (1) Freestanding On-premises Sign (TruMed Naturopathic Clinic),14620 - STONY PLAIN ROAD NW,Plan 9323194 Blk 7A Lot 35A,3210,GROVENOR,Nakota Isga Ward,Stony Plain Road and Area,3,53.542309131199815,-113.57356218367266,,"{'type': 'Point', 'coordinates': [-113.57356218367266, 53.542309131199815]}",,RF3,
534352986-002,Major Development Permit,Not Available,Other,To change the use from General Retail Store to an Indoor Sales and Service in the form of a Minor Veterinary Service and to construct interior alterations,10730 - 142 STREET NW,Plan 2599KS Blk 12 Lot 1,3300,MCQUEEN,Nakota Isga Ward,,3,53.55177601898066,-113.566985454146,,"{'type': 'Point', 'coordinates': [-113.566985454146, 53.55177601898066]}",Redeveloping,DC2,
665460263-002,Major Development Permit,Not Available,Other,To change the use from Office to a 232 m2 Indoor Sales and Service (wellness clinic) and to construct interior alterations,"202, 16723 - 71 STREET NW",Plan 2322452 Blk 9 Lot 14,2700,SCHONSEE,tastawiyiniwak Ward,,3,53.62935111696817,-113.45004076758846,,"{'type': 'Point', 'coordinates': [-113.45004076758846, 53.62935111696817]}",Developing,CN,
475542976-002,Major Development Permit,Not Available,Other,To construct interior alterations to an Extended Medical Treatment Service building (modernization of elevators in the atrium of the Royal Alexandra Hospital),10240 - KINGSWAY NW,Plan 1619KS Blk 2 Lot 313,1030,CENTRAL MCDOUGALL,O-day'min Ward,Kingsway,3,53.55740028240453,-113.49815574329435,,"{'type': 'Point', 'coordinates': [-113.49815574329435, 53.55740028240453]}",Redeveloping,UF,
341197550-002,Major Development Permit,Not Available,Other,To construct interior alterations for a General Retail Store (pharmacy),627 - CAMERON HEIGHTS DRIVE NW,Plan 0024559 Lot A,4466,CAMERON HEIGHTS,sipiwiyiniwak Ward,,3,53.47043187873645,-113.63110999401437,,"{'type': 'Point', 'coordinates': [-113.63110999401437, 53.47043187873645]}",Developing,DC2,
397600675-002,Major Development Permit,Not Available,Other,"To change the use from General Retail Store to Health Service (chiropractic office), and to construct interior alterations",16440 - ELLERSLIE ROAD SW,Plan 1321077 Blk 1 Lot 1,5505,AMBLESIDE,pihêsiwin Ward,,3,53.42368129195273,-113.60684770509488,,"{'type': 'Point', 'coordinates': [-113.60684770509488, 53.42368129195273]}",Developing,CG,
407421821-002,Major Development Permit,Not Available,Other,To continue to operate a Health Service and to construct interior alterations (dental office),20910 - 62 AVENUE NW,Plan 1125045 Blk 1 Lot 2,4551,GRANVILLE,sipiwiyiniwak Ward,,3,53.498125869010494,-113.68241691792957,,"{'type': 'Point', 'coordinates': [-113.68241691792957, 53.498125869010494]}",Developing,DC2,
448674018-002,Sign Permit,Not Available,Other,To install (30) Fascia On-Premises Sign(s)  (PRO CARE PHARMACY& CLINIC),8906 - 149 STREET NW,Plan 9621254 Blk 2 Lot 25,4230,JASPER PARK,sipiwiyiniwak Ward,,3,53.521434130337724,-113.57850025072378,,"{'type': 'Point', 'coordinates': [-113.57850025072378, 53.521434130337724]}",,,
397535113-002,Major Development Permit,Not Available,Other,To continue to operate a Health Service and to construct interior alterations (remove two walls to reduce number of rooms in a hearing clinic),9116 - 82 AVENUE NW,Plan 3737AI Blk 9 Lots 5-9,6040,BONNIE DOON,Métis Ward,French Quarter,3,53.518341406556175,-113.46852396104826,,"{'type': 'Point', 'coordinates': [-113.46852396104826, 53.518341406556175]}",Redeveloping,"RM,MU",
406121331-002,Major Development Permit,Not Available,Other,To change the Use from a Personal Service Shop to a Health Service and to construct interior alterations (expanding adjacent medical clinic).,9720 - 106 AVENUE NW,Plan NA Blk 12 Lots 29-30,1140,MCCAULEY,O-day'min Ward,Chinatown and Area,3,53.550289945691034,-113.48970260360062,,"{'type': 'Point', 'coordinates': [-113.48970260360062, 53.550289945691034]}",Redeveloping,MU,
447477262-002,Major Development Permit,Not Available,Other,To operate a Health Service (medical laboratory) and to construct interior alterations,10150 - 102 STREET NW,Plan 8720596 Blk 2 Lot A,1090,DOWNTOWN,O-day'min Ward,Downtown,3,53.54223553602907,-113.49646162455184,,"{'type': 'Point', 'coordinates': [-113.49646162455184, 53.54223553602907]}",Redeveloping,CCA,
257315106-001,Sign Permit,Not Available,Other,To install a Fascia On-premises Sign (PHYSIO-MASSAGE - United Health Centres),7609 - 109 STREET NW,"Condo Common Area (Plan 1720082,1423850)",5330,QUEEN ALEXANDRA,papastew Ward,,3,53.51261413845252,-113.51150893491945,,"{'type': 'Point', 'coordinates': [-113.51150893491945, 53.51261413845252]}",,,
532756592-002,Sign Permit,Not Available,Other,To install (4) Fascia Sign(s) limited to On-premises Advertising (Family Health Medical Centre),301 - PARSONS ROAD SW,Condo Common Area (Plan 2420498),6214,ELLERSLIE INDUSTRIAL,Karhiio Ward,,4,53.431157036,-113.478820642,,"{'type': 'Point', 'coordinates': [-113.478820642, 53.431157036]}",,,
627105724-002,Major Development Permit,Not Available,Other,To Operate a Health Service (Optometry Clinic),16727 - 71 STREET NW,Plan 2322452 Blk 9 Lot 14,2700,SCHONSEE,tastawiyiniwak Ward,,3,53.62935111696817,-113.45004076758846,,"{'type': 'Point', 'coordinates': [-113.45004076758846, 53.62935111696817]}",Developing,CN,
598265347-002,Sign Permit,Not Available,Other,To establish a Comprehensive Sign Design Plan for (Rabah Clinic),9943 - 82 AVENUE NW,Plan 2321406 Blk 58 Lot 5A,6610,RITCHIE,papastew Ward,Old Strathcona,3,53.51773802302251,-113.48772625620697,,"{'type': 'Point', 'coordinates': [-113.48772625620697, 53.51773802302251]}",,,
489196443-002,Sign Permit,Not Available,Other,To install a Fascia On-Premises Sign (CHINATOWN IPHARMACY).,9656 - 107A AVENUE NW,Plan ND Blk 26 Lots 25-27,1140,MCCAULEY,O-day'min Ward,Chinatown and Area,3,53.553090225890585,-113.4895308373667,,"{'type': 'Point', 'coordinates': [-113.4895308373667, 53.553090225890585]}",,,
405018691-002,Major Development Permit,Not Available,Other,To change the Use from Warehouse Sales to a Health Service and to construct interior alterations (Summerside Children's & Sport Physiotherapy Ltd.).,10607 - 172 STREET NW,Plan 0426838 Blk 3 Lot 2A,4300,MCNAMARA INDUSTRIAL,Nakota Isga Ward,,3,53.55146821430912,-113.61668735592613,,"{'type': 'Point', 'coordinates': [-113.61668735592613, 53.55146821430912]}",Industrial,CB,
492541967-002,Sign Permit,Not Available,Other,To install a Fascia On-Premises Sign (ALBANY VETERINARY CLINIC).,16759 - 127 STREET NW,Plan 1321434 Blk 1 Lot 2,3370,RAPPERSWILL,Anirniq Ward,,3,53.63055646767096,-113.53953642176356,,"{'type': 'Point', 'coordinates': [-113.53953642176356, 53.63055646767096]}",,,
405862704-002,Sign Permit,Not Available,Other,To install (2) Fascia On-Premises Signs (FIRE & FLOWER | SKIN PHYSICIANS | COSMEDICS),11516 - JASPER AVENUE NW,Plan B3 Blk 15 Lot 79,1151,WÎHKWÊNTÔWIN,O-day'min Ward,,3,53.54128183320575,-113.52001399334021,,"{'type': 'Point', 'coordinates': [-113.52001399334021, 53.54128183320575]}",,,
616747513-002,Major Development Permit,Not Available,Other,To change the use from Food and Drink Service to Health Service (dental clinic) and to construct interior alterations,8137 - 97 STREET NW,Plan 4575S Blk 12 Lots 1-7,6610,RITCHIE,papastew Ward,French Quarter,3,53.517726035394816,-113.47902241464489,,"{'type': 'Point', 'coordinates': [-113.47902241464489, 53.517726035394816]}",Redeveloping,MU,
349588941-002,Major Development Permit,Not Available,Other,To construct exterior alterations to a Health Services and Extended Medical Treatment Services site (parking area reconfiguration - NORTHEAST COMMUNITY HEALTH CENTRE).,14007 - 50 STREET NW,Plan 9724257 Blk 6 Lot 1,2541,MILLER,Dene Ward,,3,53.604036889581934,-113.4172208929906,,"{'type': 'Point', 'coordinates': [-113.4172208929906, 53.604036889581934]}",Redeveloping,UF,
516289934-002,Sign Permit,Permitted Development,Other,To install (2) Fascia Sign(s) limited to On-premises Advertising (Prime Health Physiotherapy),"11, 9228 - 144 AVENUE NW",Plan 2547RS Blk 35 Lot 3,2260,EVANSDALE,tastawiyiniwak Ward,,3,53.606670929007805,-113.48277278235503,,"{'type': 'Point', 'coordinates': [-113.48277278235503, 53.606670929007805]}",,MUN,
327622014-002,Major Development Permit,Not Available,Other,Change of Use from Personal Service Shop to Health Services (dental office),7179 - WINTERBURN ROAD NW,Plan 2522068 Blk 1 Lot 124,4551,GRANVILLE,sipiwiyiniwak Ward,,3,53.5070314355508,-113.68699737576611,,"{'type': 'Point', 'coordinates': [-113.68699737576611, 53.5070314355508]}",Developing,DC,
384800147-002,Sign Permit,Not Available,In Progress,To install (1) Fascia On-Premises Sign(s) To install (1) Freestanding Off-Premises Sign(s) To install (1) replacement panel(s)on an Existing Sign  (THE MEDICINE SHOPPE PHARMACY 377),6604 - 132 AVENUE NW,Plan 5587MC Blk 3 Lot 25,2230,DELWOOD,tastawiyiniwak Ward,,3,53.592517320978004,-113.44346705266159,,"{'type': 'Point', 'coordinates': [-113.44346705266159, 53.592517320978004]}",,,
627393841-002,Major Development Permit,Not Available,Other,To Change the Use from a Food and Drink Service to a Health Service (Sleep  Apnea Clinic),6636 - 178 AVENUE NW,Plan 2120695 Blk 1 Lot 178,2462,CRYSTALLINA NERA EAST,tastawiyiniwak Ward,,3,53.64119446023738,-113.44340817292648,,"{'type': 'Point', 'coordinates': [-113.44340817292648, 53.64119446023738]}",Developing,CN,
567580126-002,Major Development Permit,Not Available,Other,To change the use from General Retail Store to a Health Service (dental office) and to construct interior alterations,20079 - LESSARD ROAD NW,Plan 2420692 Blk 1 Lot 64,4462,EDGEMONT,sipiwiyiniwak Ward,,4,53.476418056,-113.673283584,,"{'type': 'Point', 'coordinates': [-113.673283584, 53.476418056]}",Developing,CG,
611191677-002,Sign Permit,Not Available,Other,To install (19) Fascia Sign(s) limited to On-premises Advertising (109 St Pharmacy Clinic),10705 - 109 STREET NW,Plan 3942MC Blk 8 Lot 179,1030,CENTRAL MCDOUGALL,O-day'min Ward,North Edge,3,53.551727610206825,-113.50787348202599,,"{'type': 'Point', 'coordinates': [-113.50787348202599, 53.551727610206825]}",,,
498285601-002,Sign Permit,Not Available,Other,To install (3) Fascia Sign(s) limited to On-premises Advertising (Movenetics Physiotherapy),5302 - ADMIRAL GIROUARD STREET NW,Condo Common Area (Plan 2321252),3111,GRIESBACH,Anirniq Ward,,4,53.60030303,-113.513461578,,"{'type': 'Point', 'coordinates': [-113.513461578, 53.60030303]}",,,
514260510-002,Major Development Permit,Not Available,Other,To change the use from General Retail Store to a Health Service (dental clinic) and to construct interior alterations,21612 - 92 AVENUE NW,Plan 2322103 Blk 2 Lot 68,4487,SECORD,Nakota Isga Ward,,3,53.52874830368964,-113.69131257109356,,"{'type': 'Point', 'coordinates': [-113.69131257109356, 53.52874830368964]}",Developing,DC2,
398744990-002,Major Development Permit,Not Available,Other,To change the Use from General Retail to a Health Service (denture clinic) and construct interior alterations.,6471 - CARTMELL PLACE SW,Condo Common Area (Plan 2021910),5471,CHAPPELLE,Ipiihkoohkanipiaohtsi Ward,,3,53.396495626987154,-113.56991524510971,,"{'type': 'Point', 'coordinates': [-113.56991524510971, 53.396495626987154]}",Developing,CG,
259279211-001,Major Development Permit,Not Available,Other,To change the use from Professional Financial and Office Support Services to Health Services and to construct interior alterations (expansion of Westmount Dental to adjacent bay),"423, 1 - WESTMOUNT SHOPPING CENTRE NW",Plan 5079HW Blk 20,3450,WOODCROFT,Anirniq Ward,The Crossroads,3,53.561333004254976,-113.55353918436984,,"{'type': 'Point', 'coordinates': [-113.55353918436984, 53.561333004254976]}",Redeveloping,MU,
626358856-002,Major Development Permit,Not Available,Other,To change the use from Indoor Sales and Service to a 227 m2 Health Service and Indoor Sales and Service (medical clinic and pharmacy) and to construct interior alterations,1131 - 103A STREET SW,Plan 2420113 Blk 1 Lot 1B,5466,CASHMAN,Ipiihkoohkanipiaohtsi Ward,,3,53.4227825703799,-113.49503757353187,,"{'type': 'Point', 'coordinates': [-113.49503757353187, 53.4227825703799]}",Developing,CN,
548846287-002,Major Development Permit,Not Available,Other,To Operate a Health Service/ General Retail Store (Optometrist with Optical Retail Sales) within an existing General Retail Store,2950 - CALGARY TRAIL NW,Plan 8522461 Blk 23 Lot A,5120,CALGARY TRAIL SOUTH,papastew Ward,,3,53.460709715269566,-113.49424891405604,,"{'type': 'Point', 'coordinates': [-113.49424891405604, 53.460709715269566]}",Industrial,DC2,
324989283-001,Major Development Permit,Discretionary Development,Other,To change the use of a General Industrial bay to a Animal Hospitals and Shelters (dog grooming) and to construct interior alterations.,"3, 5408 - 53 AVENUE NW",Plan 8220320 Blk 4 Lot 21,6640,ROPER INDUSTRIAL,Karhiio Ward,,3,53.49100386086573,-113.4217675468042,,"{'type': 'Point', 'coordinates': [-113.4217675468042, 53.49100386086573]}",Industrial,BE,
515882988-002,Major Development Permit,Not Available,Other,To change the Use from a Personal Service (dog grooming) to an Animal Hospital and Shelters (dog daycare).,10508 - 105 STREET NW,Plan B3 Blk 5 Lots 236-238,1030,CENTRAL MCDOUGALL,O-day'min Ward,North Edge,3,53.5484804847219,-113.50160816815011,,"{'type': 'Point', 'coordinates': [-113.50160816815011, 53.5484804847219]}",Redeveloping,DC,
441074254-002,Major Development Permit,Not Available,Other,To change the Use from a Specialty Food Service to a Health Service (Prime Physiotherapy and Massage).,"11, 9228 - 144 AVENUE NW",Plan 2547RS Blk 35 Lot 3,2260,EVANSDALE,tastawiyiniwak Ward,,3,53.606670930576996,-113.4827727815804,,"{'type': 'Point', 'coordinates': [-113.4827727815804, 53.606670930576996]}",Redeveloping,MUN,
566441836-002,Major Development Permit,Not Available,Other,To change the use from General Retail Store to Health Service (physio clinic) and to construct interior alterations,453 - HAWKS RIDGE BOULEVARD NW,Plan 1221444 Blk 7 Lot 1,4473,HAWKS RIDGE,Nakota Isga Ward,,3,53.588909355808156,-113.69060231120062,,"{'type': 'Point', 'coordinates': [-113.69060231120062, 53.588909355808156]}",Developing,DC,
324339876-001,Sign Permit,Not Available,Other,To install (1) Fascia On-premises Sign (ALBERTA DENTAL ASSOCIATION AND COLLEGE | UNITED HEALTH CENTRES),7609 - 109 STREET NW,"Condo Common Area (Plan 1720082,1423850)",5330,QUEEN ALEXANDRA,papastew Ward,,3,53.51261413845252,-113.51150893491945,,"{'type': 'Point', 'coordinates': [-113.51150893491945, 53.51261413845252]}",,CB1,
183788274-001,Major Development Permit,Not Available,Other,To change the Use from Convenience Retail Stores to Health Services and to construct interior alterations (massage clinic).,8114 - 82 AVENUE NW,Plan 3515NY Blk 34 Lot 2A,6320,IDYLWYLDE,Métis Ward,,3,53.518356472722516,-113.45351793102424,,"{'type': 'Point', 'coordinates': [-113.45351793102424, 53.518356472722516]}",Redeveloping,MU,
587152381-002,Major Development Permit,Not Available,Other,To continue to operate a Health Service and to construct interior alterations (medical clinic and pharmacy),11951 - 82 STREET NW,Plan RN63 Blk 1 Lots 18-20,1100,EASTWOOD,Métis Ward,,3,53.573232827227024,-113.4667877638754,,"{'type': 'Point', 'coordinates': [-113.4667877638754, 53.573232827227024]}",Redeveloping,CN,
433702553-002,Major Development Permit,Not Available,Other,"To construct an Animal Hospital and Shelter, and Multi-unit Residential building.",11231 - 199 STREET NW,Plan 9322709 Lot 4,4650,WINTERBURN INDUSTRIAL AREA EAST,Nakota Isga Ward,,3,53.560593027669256,-113.6632792900877,,"{'type': 'Point', 'coordinates': [-113.6632792900877, 53.560593027669256]}",Industrial,IM,
569215587-002,Major Development Permit,Not Available,Other,To change the use from General Retail Store and Health Service to Indoor Sales and Service in the form of a Personal Service Shop (massage and wellness clinic) and to construct interior alterations,600 - RIVERBEND SQUARE NW,Plan 9023003 Blk 101 Lot 35,5190,FALCONER HEIGHTS,pihêsiwin Ward,,3,53.46875560296266,-113.58789237556161,,"{'type': 'Point', 'coordinates': [-113.58789237556161, 53.46875560296266]}",Redeveloping,DC2,
494764516-002,Major Development Permit,Not Available,Other,To operate a Health Service and Convenience Retail Store (medical clinic with pharmacy) and to construct interior alterations,10024 - 82 AVENUE NW,Plan I Blk 70 Lot 10,5480,STRATHCONA,papastew Ward,Old Strathcona,3,53.51837604325755,-113.48969281841846,,"{'type': 'Point', 'coordinates': [-113.48969281841846, 53.51837604325755]}",Redeveloping,MU,
